Accession,GenBank_RefSeq,Organism_Name,Length,Country,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date
OM639999,GenBank,dengue virus type 4,10641,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-29
OM640000,GenBank,dengue virus type 4,10599,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-11-16
OM648092,GenBank,dengue virus type 2,10697,India,Homo sapiens,blood,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,2021-10-20
MZ229304,GenBank,dengue virus type I,10519,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","Indian Institute of Science, Chemical Engineering",India,,2016-08-10
MZ229305,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","Indian Institute of Science, Chemical Engineering",India,,2016-09-10
MZ312921,GenBank,Dengue virus type 3,10366,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-07-09
MZ312922,GenBank,dengue virus type I,10431,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-08-21
MZ312923,GenBank,dengue virus type I,10713,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-08-27
MZ312924,GenBank,dengue virus type I,10713,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-08-28
MZ312925,GenBank,dengue virus type I,10482,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-09-05
MZ312926,GenBank,dengue virus type I,10713,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-09-17
MZ312927,GenBank,dengue virus type I,10713,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-09-28
MZ312928,GenBank,dengue virus type I,10412,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-10-25
MZ312929,GenBank,dengue virus type I,10427,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-10-25
MZ312930,GenBank,dengue virus type I,10620,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","Indian Institute of Science, Chemical Engineering",India,,2018-10-26
MZ312931,GenBank,Dengue virus type 2,10591,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Gadepalli,R.","Indian Institute of Science, Chemical Engineering",India,,2017-10-09
MW191698,GenBank,Dengue virus type 2,10585,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-07
MW191699,GenBank,Dengue virus type 2,10585,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-07
MW191700,GenBank,Dengue virus type 2,10585,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-07
MW191701,GenBank,Dengue virus type 2,10585,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-07
MW191720,GenBank,dengue virus type I,10533,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW191721,GenBank,dengue virus type I,10533,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW191722,GenBank,dengue virus type I,10578,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW191723,GenBank,dengue virus type I,10533,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-07
MW191724,GenBank,dengue virus type I,10533,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-08
MW191725,GenBank,dengue virus type I,10533,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-09
MW192820,GenBank,Dengue virus type 3,10539,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW192821,GenBank,Dengue virus type 3,10558,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW192822,GenBank,Dengue virus type 3,10571,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-08
MW192823,GenBank,Dengue virus type 3,10571,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2016-07
MW192824,GenBank,Dengue virus type 3,10571,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-08
MW192825,GenBank,Dengue virus type 4,10161,India,Homo sapiens,blood,"Tiraki,D., Singh,K., Shrivastava,S., Mishra,A.C., Arankalle,V., Tiraki,D.A., Arankalle,V.A.","Interactive Research School for Health Affairs, Communicable Diseases",India,1,2017-07
MZ284953,GenBank,Dengue virus type 3,10735,India,Homo sapiens,blood,"Saranya,S.","SRIHER, MEDICAL BIOINFORMATICS",India,,2019-05-25
MZ285058,GenBank,Dengue virus 4,10723,India,Homo sapiens,blood,"Devaraj,M.","SRIHER, MEDICAL BIOINFORMATICS",India,,2019-05-25
MZ285732,GenBank,Dengue virus type 3,10735,India,Homo sapiens,blood,"Abirami,S.","SRIHER, Medical bioinformatics",India,,2019-05-25
MW946478,GenBank,Dengue virus type 2,10176,India,Homo sapiens,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.","Walter Reed Army Institute of Research, Viral Genetics and Emerging Diseases",USA,,1974
MN253124,GenBank,Dengue virus type 3,10541,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-08-10
MN253125,GenBank,Dengue virus type 3,10651,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-10-27
MN253126,GenBank,Dengue virus type 3,10568,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,
MN253127,GenBank,Dengue virus type 3,10507,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-09-06
MN253128,GenBank,Dengue virus type 3,10560,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-09-18
MN253129,GenBank,Dengue virus type 3,10614,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-09-20
MN253130,GenBank,Dengue virus type 3,10557,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-12-09
MN253131,GenBank,Dengue virus type 3,10504,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-12-09
MN253132,GenBank,Dengue virus type 3,10569,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-09-18
MN253133,GenBank,Dengue virus type 3,10504,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-10-13
MN253134,GenBank,Dengue virus type 2,10242,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-10-30
MN239487,GenBank,Dengue virus type 4,10568,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2018-11-09
MN239488,GenBank,dengue virus type 4,10314,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,
MN239489,GenBank,Dengue virus type 4,10509,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Roy,R., Vedpathak,M., Agrawal,S., Shastri,J.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-05-10
MK858096,GenBank,Dengue virus type 2,10505,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Kumar,A., Nisheetha,A., Marimuthu,S., Pandit,A., Kar,M., Shinde,J.R., Chandele,A., Kabra,S., Lodha,R., Roy,R., Krishna,S., Medigeshi,G.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2014
MK858097,GenBank,Dengue virus type 2,10476,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Kumar,A., Nisheetha,A., Marimuthu,S., Pandit,A., Kar,M., Shinde,J.R., Chandele,A., Kabra,S., Lodha,R., Roy,R., Krishna,S., Medigeshi,G.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2013
MK858098,GenBank,Dengue virus type 2,10513,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-31
MK858099,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-26
MK858100,GenBank,Dengue virus type 2,10647,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-10
MK858101,GenBank,Dengue virus type 2,10570,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-10
MK858102,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-13
MK858103,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-13
MK858104,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-05
MK858105,GenBank,Dengue virus type 2,10489,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-05
MK858106,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-20
MK858107,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-19
MK858108,GenBank,Dengue virus type 2,10685,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-05
MK858109,GenBank,Dengue virus type 2,10709,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-09-11
MK858110,GenBank,Dengue virus type 2,10560,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-09-08
MK858111,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-09-08
MK858112,GenBank,Dengue virus type 2,10723,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-10-05
MK858113,GenBank,Dengue virus type 2,10657,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-09-19
MK858114,GenBank,Dengue virus type 2,10574,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-09-10
MK858115,GenBank,Dengue virus type 2,10503,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-09-08
MK858116,GenBank,Dengue virus type 2,10588,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-09-06
MK858117,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-26
MK858118,GenBank,dengue virus type I,10680,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-25
MK858119,GenBank,dengue virus type I,10668,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-11
MK858120,GenBank,dengue virus type I,10658,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-06
MK858121,GenBank,dengue virus type I,10735,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,
MK858122,GenBank,dengue virus type I,10557,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-07
MK858123,GenBank,dengue virus type I,10643,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-09
MK858124,GenBank,dengue virus type I,10601,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,
MK858125,GenBank,dengue virus type I,10597,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-08
MK858126,GenBank,dengue virus type I,10737,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-09
MK858127,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-27
MK858128,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-04-09
MK858129,GenBank,dengue virus type I,10432,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,
MK858130,GenBank,dengue virus type I,10737,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-25
MK858131,GenBank,dengue virus type I,10688,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-24
MK858132,GenBank,dengue virus type I,10570,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-10
MK858133,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-08-10
MK858134,GenBank,dengue virus type I,10542,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-21
MK858135,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-20
MK858136,GenBank,dengue virus type I,10518,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-17
MK858137,GenBank,dengue virus type I,10737,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-07
MK858138,GenBank,dengue virus type I,10735,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-05
MK858139,GenBank,dengue virus type I,10714,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-10-06
MK858140,GenBank,dengue virus type I,10586,India,Homo sapiens,blood,"Pattabiraman,C., Jagtap,S., Sankaradoss,A., Kumar,A., Nisheetha,A., Pandit,A., Marimuthu,S., Krishna,S., Roy,R., Dias,M.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2016-09-10
MK858141,GenBank,dengue virus type I,10525,India,Homo sapiens,blood,"Jagtap,S., Pattabiraman,C., Sankaradoss,A., Pandit,A., Nisheetha,A., Krishna,S., Gadepalli,R.","National Institute of Mental Health and Neurosciences, Neurovirology",India,,2017-09-22
